title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
3 Body Problem,series,2024-03-21,108545,en,,,"Sci-Fi & Fantasy,Mystery,Drama",3.7524,2.159,7.1896,0,8,55.9,binge,tt13016388,"alien, alien invasion sci fi, technology, earth, humanity",1,4552518,1,15.33119126,7.64,s1,52995,7.476,1283,11.8713,7,1,1,345500000,46600000,4,294100000,39700000
Black Doves,series,2024-12-05,225385,en,,,"Action & Adventure,Mystery,Crime",4.9501,2.69,4.9501,0,6,55.8,binge,tt27995113,"gay protagonist, espionage, assassin, homosexual man, gay",1,2029317,1,14.52321033,7.5,s1,11191,7.113,336,5.4688,6,1,1,248800000,45300000,4,206300000,37500000
Nobody Wants This,series,2024-09-26,250923,en,,,"Comedy,Drama",5.7833,3.786,3.9086,0,10,26.9,binge,tt26933824,"rabbi, jew, romantic comedy, podcaster, dating",1,1353735,1,14.11837874,8.3,s1,14516,7.5,214,12.5086,8,1,1,262400000,59300000,4,185600000,42000000
Jurassic World: Chaos Theory,series,2024-05-24,237512,en,,,"Animation,Action & Adventure,Sci-Fi & Fantasy,Kids,Family",1.1066,1.107,3.5248,0,10,24,binge,tt29899148,"sequel, sequel to tv series, cgi animation, computer animation, 3d animation",1,90855,1,11.41703111,7.8,s1,3924,8.305,174,10.9766,4,1,4,56200000,14300000,2,35200000,8900000
Untamed,series,2025-07-17,248852,en,,,"Mystery,Drama",3.9989,2.154,3.3289,0,6,48.8,binge,tt31710822,"park, investigate, national park service, investigation, case",1,538166,1,13.1959242,7.33,s1,10383,7.358,293,10.3704,7,1,1,391100000,80300000,4,341100000,70100000
The Gentlemen,series,2024-03-07,236235,en,,,"Comedy,Drama,Crime",5.9452,3.056,3.2897,0,8,50.9,binge,tt13210838,"spin off, criminal, drug, gang, gangster",1,2629258,1,14.78221262,7.98,s1,29366,7.877,652,11.5152,10,1,1,462400000,69500000,4,345600000,51800000
The Watcher,series,2022-10-13,210232,en,,,"Drama,Mystery",3.2197,2.163,3.2197,0,7,47.7,binge,tt14852808,"home, husband wife relationship, house, stalker, being watched",1,2595349,1,14.76923194,7.03,s1,14019,7.106,703,4.2976,5,1,1,395030000,0,4,376180000,0
The Diplomat,series,2023-04-20,203857,en,,,"Drama,War & Politics",5.5751,2.781,3.0747,0,8,51,binge,tt17491088,"political drama, marriage, female nudity, female rear nudity, husband wife relationship",1,1309939,1,14.08549189,7.95,s1,17091,7.545,370,17.1636,12,1,1,359760000,32500000,4,173460000,0
Wednesday,series,2022-11-23,119051,en,,,"Sci-Fi & Fantasy,Mystery,Comedy",12.5445,5.256,2.9407,0,8,51.6,binge,tt13443470,"addams family, academy, teen agers series, goth girl, anti heroine",1,6829977,1,15.73683201,8.02,s1,96117,8.374,10043,64.5835,39,1,1,2931750000,197600000,4,1196150000,0
Running Point,series,2025-02-27,244623,en,,,Comedy,2.916,1.494,2.916,0,10,30.9,binge,tt14879018,"basketball, nba, office, workplace, friend",1,753840,1,13.53293675,7.1,s1,5326,7.1,104,2.3276,5,1,1,168900000,33300000,4,157100000,31000000
Bridgerton,series,2020-12-25,91239,en,,,Drama,2.7228,1.647,2.2948,0,8,61.9,binge,tt8740790,"steamy romance, alternate history, england, costume drama, regency era",1,6464705,1,15.68186809,7.72,s1,30253,8.076,3038,31.0942,49,1,1,2279710000,201400000,0,0,0
Rhythm + Flow,series,2019-10-09,83996,en,,,Reality,2.2175,1.341,2.2175,0,10,56.5,hybrid,tt9278032,"competition, rap, rapper, singing, prize",1,,0,,7.9,s1,876,7,26,1.5821,0,0,0,0,0,0,0,0
Pokémon Concierge,series,2023-12-28,221301,ja,,,"Animation,Family",2.8187,2.479,2.1456,0,8,18.9,binge,tt26916286,"pokemon, stop motion animation, stop motion, based on video game, anime animation",1,,0,,7.58,s1,1137,7.458,83,5.3039,2,1,5,6200000,5200000,2,6200000,5200000
Leviathan,series,2025-07-10,256323,ja,,,"Animation,Action & Adventure,Sci-Fi & Fantasy",2.3479,1.883,2.1456,0,12,25.4,binge,tt32581507,"anime animation, fictional war, world war one, 20th century, 1910s",1,64277,1,11.07097271,7.94,s1,404,6,6,4.3315,0,0,0,0,0,0,0,0
Forever,series,2025-05-08,248394,en,,,Drama,1.8761,1.429,2.1452,0,8,48,binge,tt15515490,"young adult, high school, school, love, sexual",1,408306,1,12.91977462,8.16,s1,1222,6.971,35,2.9564,4,1,3,103200000,15900000,4,103200000,15900000
Beef,series,2023-04-06,154385,en,,,"Comedy,Drama",2.1132,1.196,2.1132,0,10,35.8,binge,tt14403178,"dramedy, asian american, revenge, road, friend",1,2740753,1,14.82374362,7.99,s1,43867,7.738,804,6.1817,5,1,2,186540000,0,4,171750000,0
One Piece,series,2023-08-31,111110,en,,,"Action & Adventure,Sci-Fi & Fantasy",2.4488,1.633,2.0724,1,8,58.1,binge,tt11737520,"live action remake of anime, pirate, based on anime, ship, pirate ship",1,2479763,1,14.72367395,8.39,s1,119635,8.122,1421,22.3606,8,1,1,480300000,63600000,4,407900000,54000000
Death by Lightning,series,2025-11-06,245219,en,,,"Drama,Crime",2.7148,2.457,1.9906,0,4,22.4,binge,tt31121364,"tv mini series, epic drama, political drama, president, politics",1,500755,1,13.12387424,7.92,s1,1004,7.654,26,43.0594,0,0,0,0,0,0,0,0
The Four Seasons,series,2025-05-01,243316,en,,,Comedy,2.9928,1.857,1.9229,0,8,32.6,binge,tt30826447,"gay, gay couple, based on film, remake, love",1,295113,1,12.595117,7.31,s1,6992,6.6,100,3.2539,5,1,1,152300000,35300000,4,141900000,32900000
Stranger Things,series,2016-07-15,66732,en,,,"Drama,Sci-Fi & Fantasy,Mystery",7.7112,4.86,1.8774,0,8,49.8,binge,tt4574334,"government conspiracy, 1980s, friendship, monster, dungeons and dragons",1,62702,1,11.04616457,8.83,s1,231839,8.594,18966,258.8951,50,1,1,2967980000,0,0,0,0
Ransom Canyon,series,2025-04-17,240993,en,,,"Drama,Western",2.5127,1.968,1.8211,0,10,47.9,binge,tt28088031,"location in title, love, life, small town, contemporary western",1,904458,1,13.71509225,8.8,s1,2731,6.912,74,2.5602,4,1,2,183600000,23300000,4,183600000,23300000
Beauty in Black,series,2024-10-24,246246,en,,,Drama,3.2232,1.008,1.7461,0,16,47.3,hybrid,tt31260386,"male nudity, gay black man, male rear nudity, female nudity, gay",1,310129,1,12.64474684,7.54,s1,2171,7.553,95,11.7781,10,1,1,389900000,49200000,4,136900000,20800000
Miss Governor,series,2025-05-22,283368,en,,,"Comedy,War & Politics",1.6357,0.557,1.7461,0,16,26.3,hybrid,tt36600592,"politics, workplace comedy, governor, life, sitcom comedy",1,,0,,4.7,series,804,4.8,15,2.5855,2,1,8,16600000,5000000,2,16600000,5000000
The Upshaws,series,2021-05-12,121509,en,,,"Comedy,Family,Drama",1.6927,0.887,1.6927,0,10,27.6,binge,tt10945036,"african american, laugh track, sitcom comedy, indiana, working class",1,150081,1,11.91893709,7.55,s1,1221,7.7,61,5.1301,1,1,8,4800000,1800000,0,0,0
Moonrise,series,2025-04-10,203740,ja,,,"Animation,Action & Adventure,Sci-Fi & Fantasy",3.1676,2.09,1.6066,0,18,25.9,binge,tt20672482,"moon, space, galaxy, future, planet",1,151278,1,11.92688109,7.94,s1,2064,7.139,18,4.2479,0,0,0,0,0,0,0,0
My Melody & Kuromi,series,2025-07-24,281512,ja,,,"Animation,Sci-Fi & Fantasy,Kids",2.9493,2.109,1.5979,0,12,14.2,binge,tt35323313,"stop motion, character name as title, anime animation, stop motion animation, character name as series title",1,84743,1,11.34739023,8.27,s1,405,8.375,24,3.9429,2,1,2,19600000,7100000,2,19600000,7100000
The Witcher,series,2019-12-20,71912,en,,,"Sci-Fi & Fantasy,Drama,Action & Adventure",9.9422,6.525,1.5534,0,8,60.4,binge,tt5180504,"violence, monster hunter, medieval fantasy, magic, evil army",1,7272408,1,15.79959816,8.28,s1,179465,7.98,6375,185.382,23,1,1,1117900000,65000000,0,0,0
"With Love, Meghan",series,2025-03-04,280976,en,,,Reality,1.5267,1.527,1.5267,0,8,35.9,binge,tt35257773,"british royal family, california, lifestyle",1,103401,1,11.54637958,4.26,s1,14090,4,15,2.116,1,1,10,12600000,2600000,1,12600000,2600000
A Man on the Inside,series,2024-11-21,245312,en,,,"Comedy,Crime",2.0435,1.423,1.519,0,8,30.1,binge,tt26670955,"based on documentary, criminal, investigation, undercover, resident",1,705190,1,13.46622397,7.45,s1,9732,7.5,147,6.4332,5,1,1,80400000,20200000,4,75000000,18800000
